id,company,street,housenum,postalcode,city,country,notes,name,surname,surname_prefix,email,telephone,label,is_parent_of,is_child_of,roomType
835,De Roos Bloemisten,Ditlaar,8,1066EE,Amsterdam,NL,,,,,info@deroosbv.com,0206168685,hotel,,,
838,bol.com,Papendorpseweg,100,3528BJ,Utrecht,NL,,,,,"business@bol.com, automail@bol.com",0887124192,hotel,839,,
840,Milú Sancy Tres B.V.,Kerkplein,15,2513AZ,Den Haag,NL,,,,,"administratie@restaurantmilu.nl, reserveringen@restaurantmilu.nl",0702200642,hotel,,,
842,Wijnen van Marc,Herenweg,131,2361EP,Warmond,NL,,,,,marc@wijnenvanmarc.nl,0629091973,hotel,843,,"Bite package, Drink package Dutch dist., Overnamekosten factuur 5% + BTW, Room rental"
844,Sanadome,Weg door Jonkerbos,90,6532SZ,Nijmegen,NL,,,,,"info@sanadome.nl, Eva.Teeuwen@sanadome.nl",0031243597280,hotel,,,
845,Villa Klein Heumen,Scheidingsweg,111,6525TD,Nijmegen,NL,,,,,info@villakleinheumen.nl,0031243333010,hotel,,,
846,BIJ KOOS,Raadhuisplein,2,6595AK,Ottersum,NL,,,,,info@bijkoos.nl,0031657574487,hotel,,,
847,MANNA Nijmegen,Oranjesingel,2C,6511NS,Nijmegen,NL,,,,,info@manna-nijmegen.nl,0031243650990,hotel,,,
848,Borrel Experience B.V.,Pieter Goedkoopweg,16,2031EL,Haarlem,NL,,,,,"info@borrelexperience.nl, administratie@borrelexperience.nl",00310652335844,hotel,849,,
850,gefeliciTAART B.V.,Wagenweg,29,2012NB,Haarlem,NL,"

	

www.gefelicitaart.nl

",,,,"info@gefelicitaart.nl, admin@gefelicitaart.nl",0235403711,hotel,,,"Roomboter Amandel Letter 480 gr., Persoonlijk kaartje, Bezorgkosten, Overnamekosten factuur  5%+BTW"
852,NS Reizigers B.V.,Laan van Puntenburg,100,3511ER,Utrecht,NL,,,,,noreply.ns@ns.nl,0303001111,hotel,,,
854,Renaissance Amsterdam Schiphol Airport Hotel,Mr. Jac. Takkade,35,1432CB,Aalsmeer,NL,"

	

Euro 135.00 in/ex. Superior room
Euro 3,50 citytax p.p.p.n.
Comm. 10% incl. BK /excl. BTW
Online Prijscode: K53

INDIEN BETALING OP REKENING GAAT ALTIJD MAILEN N AAR DE RESERVERINGENAFDELING naar reservations.rhspl@ihcp.com&nbsp;

",,,,"sales.rhspl@ihcp.com, reservations.rhspl@ihcp.com, events.rhspl@ihcp.com","31297228686, 0636473412",hotel,"855, 984, 1424",299,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Executive Double Studio, Max F&B Spend, Overnamekosten factuur  5%+BTW, Superior Double room, single use"
862,Takeaway.com European Operations B.V.,Oosterdoksstraat,80,1011DK,Amsterdam,NL,,,,,,,hotel,,,
946,GetEvents,Gillis van Ledenberchstraat,78,1052VK,Amsterdam,NL,,,,,info@getevents.nl,310207009439,hotel,947,,"Bite package, Drink package Dutch dist., Overnamekosten factuur 5% + BTW, Room rental"
948,Nooteboom Tours,Zomerdijk,10,3143CT,Maassluis,NL,,,,,info@nooteboomtours.nl,0031104341220,hotel,"949, 949",,"Bus - 52 seater, Overnamekosten factuur 5% + BTW, Taxi 3 persons, Taxibus 8 persons"
958,Boutique Hotel Beekhuizen,Beekhuizenseweg,70 - 72,6881AM,Velp,NL,"

	

Inzake telefonie, als gasten of jullie ons willen bereiken dan kunnen jullie de voicemail altijd onderbreken door 2301# &nbsp;te toetsen, dan krijg je ons ook s &lsquo;ochtends aan de lijn.

",,,,info@hotelbeekhuizen.nl,0262020122,hotel,959,,
961,Strandtent Soomers V.O.F.,Zwarte Pad ,57C,2586HZ,Den Haag,NL,,,,,info@strandtentsoomers.nl,0703588706,hotel,,,
962,The Dutch Business Sports and Recreation Exploitation B.V.,Haarweg,3,4212KJ,Spijk,NL,,,,,membershipservices@thedutch.nl,0883399120,hotel,,,
963,Topgeschenken Nederland B.V.,Noorderdreef,60,2153LL,Nieuw-Vennep,NL,,,,,administratie@topgeschenken.nl,0881108001,hotel,,,
964,Marcus Transportservices,Sloterweg,260,1171VH,Badhoevedorp,NL,"

	

Nieuw boekingssysteem Marcus - login
Website: https://marcus.boeken.taxi/signin
Username: reservations@corporatemeetingpartner.com
WW: CMPowner123!

Marge &euro; 10 op busjes boven op inkoopprijs

PRIJZEN 2024/2025 (GEEL IS COMMISISONABLE AT 10% over de nettoprijs)
Schiphol&nbsp; --&nbsp; Amsterdam of v.v.
Mercedes E: &euro;82.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;90.75
Mercedes S: &euro;115.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;126.50
Mercedes V: &euro;92.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;101.75&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Schiphol&nbsp; --&nbsp; Amsterdam ZO of v.v.
Mercedes E: &euro;82.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;90.75
Mercedes S: &euro;115.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;126.50
Mercedes V: &euro;92.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;101.75
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Amsterdam&nbsp; --&nbsp; Amsterdam ZO of v.v.
Mercedes E: &euro;55.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;60.50
Mercedes S: &euro;90.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;99.00
Mercedes V: &euro;75.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;82.50
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75


Amsterdam&nbsp; --&nbsp; Amsterdam:
Mercedes E: &euro;45.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;49.50
Mercedes S: &euro;85.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;93.50
Mercedes V: &euro;65.00&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;71.50
Maybach: &euro;150.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;165.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;

Tarieven per uur (minimale afname is drie uur en vrij van km)
Mercedes E: &euro;70.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;77.00
Mercedes S: &euro;85.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;93.50
Mercedes V: &euro;80.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;88.00
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Schiphol&nbsp; --&nbsp; Hoofddorp of v.v.
Mercedes E: &euro;60.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;66.00
Mercedes S: &euro;90.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;99.00
Mercedes V: &euro;70.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;77.00
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Hoofddorp/Rozenburg&nbsp; --&nbsp; Amsterdam of v.v.
Mercedes E: &euro;85.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;93.50
Mercedes S: &euro;125.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;137.50
Mercedes V: &euro;100.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;110.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
Maybach: &euro;150.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;165.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;

Hoofddorp&nbsp; --&nbsp; Rozenburg of v.v.
Mercedes E: &euro;30.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;33.00
Mercedes S: &euro;85.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;93.50
Mercedes V: &euro;60.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;66.00
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Schiphol&nbsp; --&nbsp; Steigenberger
Mercedes E: &euro;60.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;66.00
Mercedes S: &euro;90.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;99.00
Mercedes V: &euro;70.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;77.00
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75

Amstelveen&nbsp; --&nbsp; Steigenberger
Mercedes E: &euro;55.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;60.50
Mercedes S: &euro;90.00&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;99.00
Mercedes V: &euro;72.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;79.75
Maybach: &euro;172.50&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &euro;189.75





&nbsp;

",,,,,0031206599808,hotel,"965, 965, 965",,"Bus, Overnamekosten factuur 5% + BTW, Taxi 3 persons - Mercedes E Class, Taxibusje 8 personen, Taxi 3 persons - Mercesdes S Class"
966,Shaynatax ,De Gheijnstraat,52,2562NR,Den Haag,NL,,,,,shaynatax@outlook.com,0638266443,hotel,"967, 967",,"Bus, Overnamekosten factuur 5% + BTW, Taxi 3 persons, Taxibus 8 persons"
968,Nordic Choice Hotels,Ellehammersvej,20,2770,Copenhagen,DK,,,,,,,hotel,969,,
969,,,,,,NL,DOS INT MICE: Contact voor Mice en ind aanvragen mbt commissie,Tanja,Andresen,,Tanja.andresen@choice.dk,004528870432,hotel,,968,
970,ToetToetFood,Marconistraat,16,3029AK,Rotterdam,NL,"

	

Commissie wordt bovenop de offerte gezet, wel specifiek benoemen. ToetToet ontvang zelf commissie vanaf de foodtrucks

",,,,arjan@toettoetfood.nl,0102614199,hotel,971,,
973,Parkmobile B.V.,Wisselwerking,40,1112XR,Diemen,NL,,,,,,,hotel,,,
974,TravelSpirit B.V.,Eemnesserweg,8,3741GA,Baarn,NL,,,,,info@travelspirit.nl,,hotel,"975, 976, 976, 977",,
980,Better Meetings,Woudenbergseweg,41,3711AA,Austerlitz,NL,,,,,"info@bettermeetings.nl, kim@bettermeetings.nl","0031343449300, 0343449300",hotel,981,,
984,ML Hospitality Exploitatie Schiphol B.V.,Mr. Jac. Takkade,35,1432CB,Aalsmeer,NL,"

	

FACTUURADRES van Renaissance Amsterdam Schiphol Airport Hotel

",,,,info@rhschiphol.nl,0297228686,hotel,,"299, 854",
990,World Fashion Apartments,Koningin Wilhelminaplein,370,1062KS,Amsterdam,NL,"

	

https://worldfashionapartments.com/Default.aspx&nbsp;

Ook locaties in Utrecht, Eindhoven en Den Haag

Arjan Baas is GM Geowrden van klein hotel in Amsterdam

",,,,olav@skyreachrelocations.com,"0031203013930, 0031623517175",hotel,991,,
992,Corporate Housing Factory B.V.,Gustav Mahlerlaan,50B,1082ME,Amsterdam,NL,,,,,,,hotel,"993, 993, 994",,
994,Servicedapartments.nl,Gustav Mahlerlaan,50B,1082ME,Amsterdam,NL,,,,,bookings@servicedapartments.nl,0031207233490,hotel,995,992,
996,Dekker Zoetermeer,Scheglaan,12,2718 KZ,Zoetermeer,NL,,,,,reserveringen@dekkerzoetermeer.nl,0793684242,hotel,997,,
998,The Brownie Box,de Kazematten,4,6681CS,Bemmel,NL,,,,,"gillian@thebrowniebox.nl, info@thebrowniebox.nl",0262062135,hotel,999,,
1004,,,,,,NL,Accounting Department,Jan,Schie,van,jvschie@ambassador.carlton.nl,0703630363,hotel,"531, 531",,
1005,De Bierbroeder,De Middend 36,36,1611KW,Bovenkarspel,NL,,,,,debierbroeders@outlook.com,0628794233,hotel,,1006,
1007,Only You Boutique Hotel Madrid,Barguillo,21,28004,Madrid,ES,,,,,madrid@onlyyouhotels.com,0034910052222,hotel,1008,,"3 course dinner, City tax, DDR 4hrs, DDR 8hrs, Premium double room, Single use., Meeting room rental, Overnamekosten factuur  5%+BTW, Superb Plus double room, Single use."
