"id","company","street","housenum","postalcode","city","country","notes"
2393,"","","","","","",""
2394,"","","","","","",""
2395,"","","","","","",""
2396,Hotel Mercure Nice Centre Grimaldi ,rue Grimaldi ,"6","06000",Nice,FR,""
2397,"","","","","","",""
2398,"","","","","","",""
2399,HAGA Ziekenhuis,"","","","",NL,"Organisator Nascholing en Evenementen 
Afdeling HagaAcademie&Innovatie - Congresbureau
 
T: (070) 210 4764
T: 06 - 82890458
E: s.sheotahul@hagaziekenhuis.nl 
Werkdagen:Ma-Di-Woe-Do en Vrijdag ochtend (8-12 u)
"
2400,"","","","","","",""
2401,"","","","","",NL,""
2402,"","","","","","",""
2403,"","","","","","",""
2404,"","","","","","",""
2405,"","","","","","",""
2406,"","","","","","",""
2407,"","","","","","",""
2408,"","","","","","",""
2409,"","","","","","",""
2410,"","","","","","",""
2411,"","","","","","",""
2412,Mercure Hotel München Olympiapark,Leonrodstrasse ,"79","80636",Munich,DE,""
2413,"","","","","","",Front Office Supervisor
2414,The Manor Amsterdam,Linnaeusstraat,"89","1093EK",Amsterdam,NL,""
2415,"","","","","","",""
2416,"","","","","","",""
2417,"","","","","",NL,Customer eXperience Team
2418,Amaze VR ,Torenstraat,"140","2513 BW",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body>VR Escape room<br />
5% comm op netto eindfactuur</body>
</html>
"
2419,H20 Esports Campus Amsterdam ,Spinnekop,"2","1444 GN",Purmerend,NL,"VR escape room
10% comm op de netto eind factuur"
2420,"","","","","","",""
2421,"","","","","","",""
2422,"","","","","","",""
2423,"","","","","","",""
2424,citizenM Amstel Amsterdam,Sarphatistraat,"47","1018EW",Amsterdam,NL,""
2425,"","","","","","",""
2426,"","","","","",NL,""
2427,"","","","","","",""
2428,SANA Malhoa Hotel ,Av. José Malhoa,"8","1099-089",Lisbon,PT,"<html>
<head>
	<title></title>
</head>
<body>Comm per mail&nbsp;<br />
<span lang=""EN-GB"" style=""font-size:11.0pt""><span style=""font-family:&quot;Calibri&quot;,sans-serif"">In order to have the 10% discount, you can book directly with our Reservations Department ( <a href=""mailto:reservations@sanahotels.com"">reservations@sanahotels.com</a> )</span></span><br />
&nbsp;</body>
</html>
"
2429,"","","","","","",""
2430,"","","","","","",""
2431,"","","","","","",""
2432,"","","","","","",""
2433,"","","","","","",""
2434,"","","","","","",""
2435,"","","","","","",""
2436,"","","","","","",""
2437,"","","","","","",""
2438,"","","","","","",""
2439,"","","","","","",""
2440,"","","","","","",""
2441,"","","","","","",""
2442,Bar Bistro Bureau,Johan Huizingalaan,"763a","1066VH",Amsterdam,NL,""
2443,"","","","","","",Event manager Bar Bistro Bureau
2444,Golden Tulip Hotel Central,Burgemeester Loeffplein,"98","5211RX",'s-Hertogenbosch,NL,Front Office & Reserveringen
2445,"","","","","",NL,Personal Assistant to the HR Director 
2446,"","","","","","",""
2447,"","","","","","",""
2448,"","","","","","",""
2449,Kameha Grand Zürich,Dufaux-Strasse,"1",CH-8152,Glattpark/Zürich,NL,FRONT OFFICE
2450,Bank hotel Stockholm,Arsenalsgatan,"6","",Stockholm Sweden,"",""
2451,Le Méridien Arlington,"19th Street North","1121 ",VA 22209,Arlington,US,""
2452,"","","","","","",FO
2453,DoubleTree by Hilton Hotel Boston - Downtown,Washington Street,"821",MA 02111,Boston,US,""
2454,"","","","","","",Complex Director of Sales & Marketing
2455,DoubleTree by Hilton Hotel New York City - Chelsea,West 29th Street,"128",NY 10001,New York,US,""
2456,"","","","","","",Sales Coordinator
2457,Zedwell Piccadilly Circus ,Great Windmill Street ,Piccadilly Circus,W1D 7DH,London,NL,""
2458,Van der Valk exclusief Hotel Duiven ,Impuls,"2","6921 RK",Duiven,NL,""
2459,"","","","","","",""
2460,"","","","","","",""
2461,"","","","","","",""
2462,"","","","","","",""
2463,"","","","","","",""
2464,"","","","","","",""
2465,"","","","","","",""
2466,"","","","","","",""
2467,"","","","","","",Banquet sales
2468,Kasteel Engelenburg,Eerbeekseweg,"6","6971LB",Brummen,NL,"<html>
<head>
	<title></title>
</head>
<body>10% commissie netto eindfactuur, besproken op 03.10.22 (13:01 uur)</body>
</html>
"
2469,NH Mechelen,Korenmarkt,"22-24","2800",Mechelen,NL,""
2470,"","","","","","",""
2471,"","","","","","",""
2472,"","","","","","",""
2473,"","","","","",NL,Projectleider realisatie
2474,"","","","","","",""
2475,"","","","","","",""
2476,"","","","","",NL,""
2477,"","","","","","",""
2478,"","","","","",NL,""
2479,The College Hotel Amsterdam,Roelof Hartstraat ,"1","1071VE ",Amsterdam,NL,""
2480,INSEAD Résidences Viatte,Route du Plessis Mornay Boulevard de Constance ,"","77300",Fontainebleau,FR,""
2481,"","","","","","",""
2482,"","","","","","",""
2483,"","","","","","",""
2484,"","","","","","",""
2485,"","","","","",NL,""
2486,The Counting House Hotel,"The Counting House, EC3","50",EC3V 3PD,London,GB,""
2487,"","","","","","",""
2488,"","","","","",NL,""
2489,"","","","","","",""
2490,Ruby Ella Hotel Cologne,Hohenzollernring ,"79-83","50672",Cologne,DE,""
2491,"","","","","","",""
2492,Hotel Verlooy,Pas,"117","2440",Geel,BE,""
2493,"","","","","",NL,""
2494,"","","","","",NL,Regional HR Expert - People & Organisational Development
2495,"","","","","","",""
2496,"","","","","","",""
2497,"","","","","","",""
2498,"","","","","","",""
2499,Altis Avenida Hotel,Rua 1º de Dezembro,"120","1200-360",Lisbon,NL,"<html>
<head>
	<title></title>
</head>
<body><b><span lang=""EN-US"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#8c949e"">Vanessa Fitas</span></span></span></b><br />
<span style=""text-autospace:none""><span lang=""PT"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#0047a8"">Coordenadora de Eventos &amp; Grupos</span></span></span></span><br />
<span style=""text-autospace:none""><span lang=""PT"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#0047a8"">Groups &amp; Events Coordinator</span></span></span></span><br />
<b><span lang=""PT"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#0047a8"">Altis Avenida Hotel</span></span></span></b><br />
<span lang=""PT"" style=""color:#0047a8""><a href=""mailto:jcampos@altishotels.com""><b><span style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:blue"">gruposavenida@altishotels.com</span></span></span></b> </a></span><br />
<span lang=""PT"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#8c949e"">Rua 1&ordm; Dezembro, 120<br />
1200-360 Lisboa - Portugal<br />
Tlf:&nbsp; 351 21 044 00 07</span></span></span><br />
<span lang=""PT"" style=""font-size:8.0pt""><span style=""font-family:&quot;Verdana&quot;,sans-serif""><span style=""color:#8c949e"">Fax: 351 21 044 01 99</span></span></span><br />
&nbsp;</body>
</html>
"
2500,Pullman Eindhoven Cocagne,Vestdijk,"47","5611CA",Eindhoven,NL,""
2501,"","","","","","",""
2502,"","","","","","",""
2503,"","","","","","",""
2504,"","","","","","",""
2505,"","","","","","",""
2506,Mercure Paris Opéra Lafayette,Rue De Trevise ,"7","75009",Paris,FR,""
2507,"","","","","","",""
2508,"","","","","","",""
2509,"","","","","","",""
2510,"","","","","","",""
2511,"","","","","",NL,""
2512,Holiday Inn Express London - Limehouse,The Highway,"469-475",E1W 3HN,London,GB,""
2513,"","","","","","",""
2514,"","","","","",NL,HR-Adviseur
2515,Canopy by Hilton London City ,Minories St ,"11-15",EC3N 1AX ,London,GB,""
2516,"","","","","","",""
2517,H10 Marina Barcelona,"Olympic Village, Av. del bogatell","64 - 68","08005",Barcelona,ES,""
2518,"","","","","","",Responsable Convencions i Banquets / Meetings & Events Manage
2519,"","","","","","",""
2520,citizenM Glasgow,Renfrew St,"60",G2 3BW,Glasgow,GB,""
2521,"","","","","",NL,""
2522,"","","","","","",""
2523,"","","","","",NL,""
2524,"","","","","","",""
2525,"","","","","","",""
2526,"","","","","","",""
2527,NH Brussels Grand Place Arenberg,Rue d'Assaut - Stormstraat,"15","1000",Brussel,BE,""
2528,"","","","","","",""
2529,"","","","","","",""
2530,"","","","","",NL,Manager Casemanagement & Medisch Advies Centrum
2531,"","","","","","",""
2532,The Royal Horseguards ,Whitehall Court,"2",SW1A 2EJ,London,GB,""
2533,"","","","","","",""
2534,"","","","","","",""
2535,"","","","","","",""
2536,"","","","","","",""
2537,"","","","","","",""
2538,"","","","","","",""
2539,"","","","","","",""
2540,"","","","","","",""
2541,"","","","","","",""
2542,"","","","","","",""
2543,"","","","","","",""
2544,"","","","","","",""
2545,"","","","","","",""
2546,"","","","","","",""
2547,"","","","","","",""
2548,Van der Valk Hotel Enschede,Zuiderval,"140","7543 EZ",Enschede,NL,""
2549,"","","","","","",""
2550,"","","","","","",""
2551,Premier Inn Edinburgh City Centre,Princes Street,"121-123",EH2 4AD,Edinburgh,GB,""
2552,"","","","","","",""
2553,"","","","","","",""
2554,"","","","","","",""
2555,"","","","","","",""
2556,"","","","","","",""
2557,"","","","","","",""
2558,"","","","","","",""
2559,Sihlpark Hotel Schindellegi,Chaltenbodenstrasse,"16",CH-8834,Schindellegi ,CH,""
2560,"","","","","","",FRONT OFFICE MANAGER
2561,Novotel Zurich Airport Messe,Lindbergh-Platz,"1",CH-8152,Zurich,CH,""
2562,"","","","","","",""
2563,"","","","","",NL,""
2564,"","","","","","",""
2565,NH Collection Eindhoven Centre,Vestdijk,"5","5611CA",Eindhoven,NL,""
2566,"","","","","","",""
2567,"","","","","","",""
2568,"","","","","","",""
2569,"","","","","","",""
2570,"","","","","","",""
2571,"","","","","","",""
2572,"","","","","","",""
2573,"","","","","",NL,LCL Manager (Rtm ZS-X)
2574,"","","","","","",""
2575,"","","","","","",""
2576,"","","","","","",""
2577,"","","","","","",""
2578,"","","","","","",""
2579,Holiday Inn Express The Hague Parliament,Lange Houtstraat ,"5","2511 CV ",The Hague,NL,""
2580,"","","","","","",""
2581,"","","","","","",""
2582,Novotel Genève Centre,Rue de zurich,"19",CH1201,Genève,CH,""
2583,"","","","","","",""
2584,"","","","","","",""
2585,"","","","","","",""
2586,"","","","","","",""
2587,"","","","","","",""
2588,"","","","","","",""
2589,"","","","","",NL,Cluster Sales Manager MICE – The Netherlands
2590,Novotel Madrid Center ,O Donnell ,"53","28009",Madrid,NL,""
2591,"","","","","",NL,""
2592,DoubleTree by Hilton London Greenwich,Catherine Grove Greenwich ,"",SE10 8FR ,London,GB,""
2593,Hampton by Hilton Utrecht Central Station,Boven Catharijnepoort ,"4","3511 WN ",Utrecht,NL,""
2594,Van der Valk Exclusief Hotel Veenendaal,Bastion,"73","3905 NJ",Veenendaal,NL,""
2595,"","","","","","",""
2596,"","","","","","",""
2597,"","","","","",NL,""
2598,"","","","","","",""
2599,Via Suites,Diemerhof,"20","1112 XN",Diemen,NL,""
2600,"","","","","","",""
2601,"","","","","",NL,Coördinator Aegon Advies
2602,"","","","","","",""
2603,"","","","","",NL,"Customer Activity Monitoring Specialist

KNAB"
2604,The Charles Hotel Munich,Sophienstraße,"28","80333",Munich,DE,""
2605,Premier Inn London Blackfriars (Fleet Street) hotel,Dorset Rise,"1-2",EC4Y 8EN,London,GB,""
2606,"","","","","","",""
2607,"","","","","",NL,Fraude analist proces & risk management Security Affairs
2608,"","","","","","",""
2609,Leonardo Boutique Museumhotel Amsterdam City Center,Pieter Cornelisz. Hooftstraat,"2","1071 BX",Amsterdam,NL,""
2610,"","","","","","",Reservations agent
2611,"","","","","","",""
2612,"","","","","","",""
2613,"","","","","","",""
2614,Leonardo Royal Hotel Edinburgh,"Jeffrey St,","43",EH1 1DH,Edinburgh,GB,""
2615,Hotel Vincci Mae,Avenida Diagonal,"596","",Barcelona,ES,""
2616,"","","","","","",""
2617,"","","","","","",""
2618,Britannia International Hotel Canary Wharf,Marsh Wall ,"",E14 9SJ ,London,GB,""
2619,"","","","","","",""
2620,"","","","","","",""
2621,"","","","","","",Groups & Events Manager
2622,Hotel Cerretani Firenze – Mgallery,Via de Cerretani,"68","50123",Florence,IT,""
2623,"","","","","","",""
2624,"","","","","","",""
2625,"","","","","","",""
2626,Holiday Inn Gdansk - City Centre,ul. Chmielna,"1","80-750",Gdansk,NL,""
2627,"","","","","","",""
2628,"","","","","","",""
2629,"","","","","","",""
2630,"","","","","","",Contract manager & meeting en events
2631,"","","","","",NL,""
2632,"","","","","","",""
2633,"","","","","",NL,HR Adviseur
2634,"","","","","","",""
2635,Hotel Monastère Maastricht ,Boschstraat,"69-71","6211 AV",Maastricht,NL,""
2636,"","","","","","",""
2637,"","","","","","",""
2638,"","","","","","",""
2639,"","","","","","",""
2640,Tulip Inn Leiden,Schipholweg,"3","2316XB",Leiden,NL,"<html>
<head>
	<title></title>
</head>
<body>Reservations manager = Brenda<br />
<br />
8% Commissie!</body>
</html>
"
2641,O'Learys Mall of the Netherlands,Kornoelje,"114","2262 AX",Leidschendam,NL,""
2642,Norton House Hotel & Spa,Ingliston,"",EH28 8LX,Edinburgh,GB,Senior Sales and Events Coordinator
2643,DoubleTree by Hilton London - West End,Southampton Row ,"92",WC1B 4BH,London,GB,""
2644,"","","","","","",""
2645,"","","","","","",""
2646,"","","","","","",""
2647,"","","","","","",""
2648,"","","","","","",""
2649,TRIBE London Canary Wharf,Water Street,"15",E14 9QG,London,GB,""
2650,"","","","","","",Reservations Supervisor
2651,"","","","","","",""
2652,nhow Amsterdam RAI,Europaboulevard,"2B","1078RV",Amsterdam,NL,""
2653,"","","","","",NL,Team Lead Customer Activity Monitoring
2654,"","","","","","",""
2655,"","","","","","",""
2656,Hilton malta,"Vjal Portomaso St Julian's PTM,","","01",Malta,MT,""
2657,"","","","","","",Sales manager
2658,"","","","","","",""
2659,Manin Hotel ,Via Daniele Manin ,"7","20121",Milan,IT,""
2660,"","","","","","",""
2661,"","","","","",NL,""
2662,"","","","","","",""
2663,"","","","","","",""
2664,"","","","","","",""
2665,"","","","","","",""
2666,"","","","","","",""
2667,"","","","","","",""
2668,"","","","","","",""
2669,"","","","","","",""
2670,"","","","","","",""
2671,"","","","","","",""
2672,O'Casey's Irish pub ,Noordeinde,"140","2514 GP",'s-Gravenhage,NL,"<html>
<head>
	<title></title>
</head>
<body>10% comm op netto eindfactuur</body>
</html>
"
2673,Courtyard London City Airport,Connaught Road,"10",E16 2AE ,"Silvertown, London  ",GB,""
2674,"","","","","","",""
2675,"","","","","","",""
2676,"","","","","",NL,""
2677,"","","","","","",""
2678,Andorra Park Hotel,C/ Les Canals 24,"24",AD500,Andorra la Vella,"",""
2679,"","","","","","",Departament de Reserves 
2680,"","","","","",NL,""
2681,"","","","","","",""
2682,Ruby Rosi Hotel Munich,Bayerstrasse,"21","80335",Munich,DE,""
2683,"","","","","","",""
2684,Leonardo Hotel Utrecht City Center ,Vredenburg,"14","3511 BA ",Utrecht,NL,""
2685,hub London Tower Bridge,Great Tower Street,"28",EC3R 5AT,London,GB,""
2686,"","","","","","",""
2687,"The Dixon, Tower Bridge, Autograph Collection",Tooyley Street,"211",SE1 2JX ,London,GB,""
2688,"","","","","","",""
2689,"","","","","","",""
2690,"","","","","","",""
2691,Courtyard Budapest City Center,Jozsef krt,"5",H-1088,Budapest,HU,""
2692,"","","","","","",""
2693,"","","","","","",""
2694,"","","","","","",""
2695,"","","","","","",""
2696,"","","","","","",""
2697,Lost Property St Paul's London - Curio Collection by Hilton,"Ludgate Hill, St Paul's ","3 - 5",EC4M 7AA,London,GB,""
2698,"","","","","",NL,""
2699,"","","","","","",""
2700,"","","","","","",""
2701,"","","","","","",""
2702,Novotel Leuven Centrum,Vuurkruisenlaan,"4","3000",Leuven,BE,""
2703,"","","","","","",""
2704,Residence Inn London Bridge by Marriott,Long Lane,"201-211",SE 1 4PN,London,GB,"<html>
<head>
	<title></title>
</head>
<body><span style=""font-size:20px;""><strong>Dit hotel niet meer boeken. Klacht van Frans de Beaufort via Liane. Slecht hotel voor te veel geld!!&nbsp;</strong></span></body>
</html>
"
2705,"","","","","","",""
2706,"","","","","","",""
2707,"","","","","","",""
2708,"","","","","","",""
2709,Hampton by Hilton Edinburgh Airport,Almond Avenue,"5",EH12 9GN ,Edinburgh,GB,""
2710,Hotel Vincci Via 66 ,"",C/Gran Vía,"66",Madrid,ES,""
2711,"","","","","","",""
2712,"","","","","","",""
2713,"","","","","",NL,""
2714,"","","","","","",""
2715,"","","","","",NL,""
2716,"","","","","",NL,""
2717,"","","","","","",""
2718,"","","","","","",""
2719,"","","","","","",""
2720,"","","","","","",""
2721,"","","","","","",""
2722,"","","","","","",""
2723,UNAHOTELS Decò Roma,Via Giovanni Amendola,"57","00185 ",Roma,IT,""
2724,"","","","","",NL,""
2725,"","","","","",NL,""
2726,Boutique Hotel Helmhaus,Schifflände ,"30",CH – 8001 ,Zurich,CH,""
2727,"","","","","","",""
2728,SIDE Member of Design Hotels,Drehbahn,"49","20354",Hamburg,DE,""
2729,"","","","","","",""
2730,"","","","","","",""
2731,Van der Valk Hotel Gilze-Tilburg,Klein Zwitserland,"8","5126 TA",Gilze,NL,""
2732,"","","","","",NL,""
2733,"","","","","","",""
2734,"","","","","","",""
2735,"","","","","","",""
2736,"","","","","","",""
2737,"","","","","",NL,""
2738,"","","","","","",""
2739,"","","","","","",""
2740,"","","","","","",""
2741,"","","","","","",""
2742,"","","","","","",""
2743,"","","","","","",""
2744,"","","","","","",""
2745,"","","","","","",""
2746,"Hotel Landgasthof ""DIE LINDE""",Kirchplatz,"16","6973",Höchst,DE,Rezeption
2747,Hotel Barcelona Princess,Avda Diagonal ,"1","08019",Barcelona,ES,""
2748,"","","","","","",""
2749,"","","","","","",""
2750,"","","","","","",""
2751,"","","","","","",""
2752,Postillion Hotel & Convention Centre Amsterdam,Paul van Vlissingenstraat,"9 - 11","1096BK",Amsterdam,NL,""
2753,"","","","","",NL,""
2754,"","","","","","",""
2755,"","","","","","",""
2756,"","","","","","",""
2757,ATLANTIC Grand Hotel Bremen,Bredenstrasse,"2","28195",Bremen,DE,""
2758,"","","","","","",""
2759,"","","","","","",""
2760,"","","","","","",""
2761,"","","","","","",""
2762,"","","","","",NL,Sales Manager
2763,Hilton Garden Inn London Heathrow Terminals 2 and 3,Heathrow T2 ,"",TW6 1AH ,"",NL,""
2764,"","","","","","",""
2765,Sofitel Paris Arc de Triomphe,Rue Beaujon,"14","75008",Paris,FR,""
2766,"","","","","","",Reservation Manager Assistant
2767,"","","","","","",""
2768,"","","","","","",""
2769,"","","","","","",""
2770,NEO KVL Hotel by TASIGO,Almystraat,"14B","5061 PA",Oisterwijk,NL,""
2771,"","","","","","",""
2772,"","","","","","",""
2773,"","","","","","",""
2774,Les Fleurs Boutique hotel,Vitosha blvd,"21","",Sofia,"",""
2775,"","","","","","",""
2776,"","","","","","",""
2777,"","","","","","",""
2778,"","","","","","",""
2779,"","","","","","",""
2780,"","","","","",NL,""
2781,"","","","","","",""
2782,"","","","","","",""
2783,"","","","","","",""
2784,"","","","","","",""
2785,"","","","","","",""
2786,The Clan Hotel Singapore,Cross St,"10","048417",Singapore,NL,"<html>
<head>
	<title></title>
</head>
<body>Aegon TBL contract NON Comm
<table class=""Table"" style=""width:100.0%; border-collapse:collapse"" width=""100%"">
	<tbody>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Room Type:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Deluxe Room</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Room Rate:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">SGD 270 per room per night<br />
			Rate is&nbsp;subject to prevailing taxes </span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Inclusions:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Complimentary Wi-Fi Access</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Breakfast:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Including breakfast</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Reservation Status:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Company guaranteed</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Cancellation Policy:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Cancel by 2359hrs 2 days prior to arrival</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Billing Instructions:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Guest pays own account</span></span></span></span></td>
		</tr>
		<tr>
			<td style=""width:220px; padding:2px 5px 2px 0cm"" valign=""top""><span style=""line-height:12.0pt""><b><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">Check In / Check Out:</span></span></span></b></span></td>
			<td style=""padding:2px 0cm 2px 5px"" valign=""top""><span style=""line-height:12.0pt""><span style=""font-size:9.0pt""><span style=""font-family:&quot;Arial&quot;,sans-serif""><span style=""color:#766c54"">15:00 / 12:00 </span></span></span></span></td>
		</tr>
	</tbody>
</table>
</body>
</html>
"
2787,"","","","","","",""
2788,"","","","","","",""
2789,Club Quarters Hotel Covent Garden Holborn,Lincoln's Inn Fields,"61",WC2A 3JW,London,GB,""
2790,"","","","","","",""
2791,"","","","","","",""
2792,Indigo den Haag,"","","","",NL,Front of House Manager
2793,"","","","","",NL,Events Indigo 
2794,Hotel Mercure Luxembourg Kikuoka Golf & Spa ,Scheierhaff ,"100","5412 ",CANACH,LU,""
2795,Hotel Am Konzerthaus Vienna MGallery,Am Heumarkt,"35 - 37","1030",Wenen,NL,""
2796,"","","","","","",""
2797,Hyatt Regency Zurich Airport The Circle,The Circle,"41","8058",Zurich,CH,""
2798,Park lane New York,Central Park South ,"36","10019",New York,US,""
2799,"","","","","",NL,""
2800,"","","","","","",""
2801,"","","","","","",""
2802,Hotel Nuevo Madrid,C/Bausa ,"27","28033, ",Madrid,ES,""
2803,"","","","","","",""
2804,"","","","","","",""
2805,"","","","","","",""
2806,"","","","","","",""
2807,"","","","","","",""
2808,Hotel Sans Souci Wien,Burggasse,"2","1070",Vienna,AT,""
2809,Berns Hotel ,Näckströmsgatan,"8","11147",Stockholm,"",""
2810,"","","","","","",""
2811,"","","","","","",""
2812,"","","","","","",""
2813,"","","","","","",""
2814,"","","","","","",""
2815,"","","","","",NL,""
2816,"","","","","","",""
2817,"","","","","","",""
2818,The Hotel. Brussels,Boulevard de Waterloo,"38","1000",Brussels,BE,""
2819,"","","","","","",""
2820,B&E Catering en Events,Witbolstraat,"5","1032 LC ",Amsterdam,NL,""
2821,"","","","","","",""
2822,"","","","","","",""
2823,"","","","","","",""
2824,"","","","","",NL,CDD Officer Hypotheken
2825,"","","","","","",""
2826,"","","","","","",""
2827,BartmanzBoot,Vreelandseweg,"12-WS","3632 EP ",Loenen aan de Vecht,NL,"<html>
<head>
	<title></title>
</head>
<body>10% commissie op alles behalve de lunch of diner van de cateraar</body>
</html>
"
2828,Kasteel De Vanenburg,Vanenburgerallee,"13","3882 RH",Putten,NL,""
2829,"","","","","","",""
2830,"","","","","","",""
2831,"","","","","","",""
2832,"","","","","","",""
2833,Hilton Garden Inn Denver Downtown,Welton Street ,"1400",CO 80202 ,Denver,US,""
2834,"","","","","","",""
2835,Kimpton Charlotte Square,Charlotte Square,"38",EH2 4HQ ,Edinburgh,NL,""
2836,LUGANODANTE - We Like You,Piazza Cioccaro,"5","6900",Lugano,CH,Reservations
2837,Hotel Residence Henri IV ,Rue des Bernardins,"50","75005",Parijs,FR,""
2838,"","","","","","",""
2839,"","","","","","",""
2840,"","","","","","",""
2841,"","","","","","",""
2842,"","","","","","",""
2843,"","","","","","",""
2844,Leonardo Hotel Groningen ,Laan van de Vrijheid ,"91","9728 GA ",Groningen,NL,""
2845,"","","","","",NL,""
2846,"","","","","","",""
2847,"","","","","","",""
2849,"","","","","","",""
2850,"","","","","","",""
2851,Novotel London Canary Wharf,Marsh Wall ,"40",E14 9TP ,London,GB,""
2852,"","","","","","",""
2853,"","","","","","",""
2854,"","","","","","",""
2855,"","","","","","",""
2856,"","","","","","",""
2857,"","","","","","",""
2858,"","","","","","",""
2859,Ruby Emma Hotel Amsterdam,Amstelvlietstraat,"4","1096 GG",Amsterdam,NL,""
2860,"","","","","",NL,""
2861,Fletcher Hotel-Restaurant Het Veluwse Bos,Arnhemseweg,"520-524","7361 CN",Beekbergen,NL,""
2862,"","","","","","",""
2863,"","","","","","",""
2864,"","","","","","",""
2865,"","","","","","",""
2866,"","","","","","",""
2867,"","","","","","",""
